Datetime,Close,High,Low,Open,Volume
,^N225,^N225,^N225,^N225,^N225
2025-07-16 00:00:00+00:00,39739.890625,39750.8203125,39734.73828125,39734.73828125,0
2025-07-16 00:01:00+00:00,39699.19140625,39741.44921875,39699.19140625,39730.921875,0
2025-07-16 00:02:00+00:00,39664.87890625,39692.33984375,39659.41015625,39692.33984375,0
2025-07-16 00:03:00+00:00,39673.609375,39685.62109375,39647.87109375,39657.51953125,0
2025-07-16 00:04:00+00:00,39656.421875,39670.26171875,39655.7890625,39668.3203125,0
2025-07-16 00:05:00+00:00,39646.98046875,39657.4609375,39634.58984375,39657.4609375,0
2025-07-16 00:06:00+00:00,39619.1015625,39648.19140625,39619.1015625,39648.19140625,0
2025-07-16 00:07:00+00:00,39612.37109375,39622.890625,39603.75,39618.80859375,0
2025-07-16 00:08:00+00:00,39590.83984375,39621.7890625,39587.3203125,39621.7890625,0
2025-07-16 00:09:00+00:00,39599.51171875,39600.19140625,39589.859375,39600.19140625,0
2025-07-16 00:10:00+00:00,39586.23046875,39609.1015625,39586.23046875,39599.30078125,0
2025-07-16 00:11:00+00:00,39567.94140625,39594.8984375,39567.94140625,39587.16015625,0
2025-07-16 00:12:00+00:00,39568.80859375,39573.16015625,39554.98828125,39567.109375,0
2025-07-16 00:13:00+00:00,39540.421875,39569.3203125,39538.41015625,39569.3203125,0
2025-07-16 00:14:00+00:00,39542.578125,39548.390625,39535.26953125,39545.890625,0
2025-07-16 00:15:00+00:00,39546.87890625,39567.03125,39539.91015625,39544.62109375,0
2025-07-16 00:16:00+00:00,39557.44140625,39557.8203125,39548.28125,39555.78125,0
2025-07-16 00:17:00+00:00,39557.05078125,39562.87109375,39557.05078125,39562.71875,0
2025-07-16 00:18:00+00:00,39558.390625,39563.328125,39551.890625,39559.8984375,0
2025-07-16 00:19:00+00:00,39573.8515625,39578.921875,39565.421875,39565.421875,0
2025-07-16 00:20:00+00:00,39578.75,39586.91015625,39573.19140625,39576.01171875,0
2025-07-16 00:21:00+00:00,39559.578125,39580.69140625,39558.16015625,39580.69140625,0
2025-07-16 00:22:00+00:00,39567.55078125,39570.2890625,39550.55859375,39558.25,0
2025-07-16 00:23:00+00:00,39565.2109375,39566.48828125,39546.58984375,39566.48828125,0
2025-07-16 00:24:00+00:00,39562.76953125,39566.0703125,39553.16015625,39565.73828125,0
2025-07-16 00:25:00+00:00,39574.5390625,39574.5390625,39555.94921875,39563.16015625,0
2025-07-16 00:26:00+00:00,39542.19140625,39573.83984375,39542.19140625,39573.83984375,0
2025-07-16 00:27:00+00:00,39530.8515625,39546.44140625,39527.12890625,39542.8984375,0
2025-07-16 00:28:00+00:00,39548.83984375,39548.83984375,39520.9609375,39520.9609375,0
2025-07-16 00:29:00+00:00,39541.078125,39548.08984375,39541.078125,39548.08984375,0
2025-07-16 00:30:00+00:00,39552.69140625,39552.69140625,39540.359375,39540.359375,0
2025-07-16 00:31:00+00:00,39574.03125,39574.03125,39555.0390625,39556.28125,0
2025-07-16 00:32:00+00:00,39578.3203125,39587.58984375,39576.3203125,39576.3203125,0
2025-07-16 00:33:00+00:00,39594.421875,39594.421875,39571.23046875,39578.78125,0
2025-07-16 00:34:00+00:00,39601.23046875,39601.23046875,39589.33984375,39595.3515625,0
2025-07-16 00:35:00+00:00,39623.9609375,39623.9609375,39601.73828125,39601.73828125,0
2025-07-16 00:36:00+00:00,39639.76171875,39641.48828125,39632.26171875,39632.26171875,0
2025-07-16 00:37:00+00:00,39663.76953125,39663.76953125,39635.19921875,39641.98046875,0
2025-07-16 00:38:00+00:00,39666.69140625,39666.83984375,39655.91015625,39666.83984375,0
2025-07-16 00:39:00+00:00,39685.53125,39685.53125,39670.6484375,39672.23828125,0
2025-07-16 00:40:00+00:00,39682.66015625,39694.55078125,39682.66015625,39685.671875,0
2025-07-16 00:41:00+00:00,39684.75,39687.30859375,39681.87890625,39683.41015625,0
2025-07-16 00:42:00+00:00,39683.94140625,39685.87890625,39681.91015625,39685.23046875,0
2025-07-16 00:43:00+00:00,39720.5390625,39722.359375,39689.30859375,39689.30859375,0
2025-07-16 00:44:00+00:00,39714.80859375,39724.73828125,39713.0390625,39722.76171875,0
